Sno,Company,calendar_year,OperatingExpenseExItems,NetIncome,PaymentsOfDividends,DPR,DPR0,DDPR,NI0,Ex0,p
869,Cardinal Health Inc,2012,892000000,334000000,353000000,1.056886228,0.394080997,0.662805231,642000000,58000000,0.280976748
870,Carmax Inc,2012,,434284000,,0,0,0,277844000,0,0.280976748
871,Carnival Corp,2012,173000000,1298000000,779000000,0.600154083,0.175418994,0.424735089,1790000000,0,0.280976748
872,Caterpillar Inc,2012,580000000,5722000000,1617000000,0.282593499,1.244256348,-0.961662849,827000000,0,0.280976748
873,"Cboe Global Markets, Inc.",2012,,157395000,114025000,0.724451221,0,0.724451221,106451000,0,0.280976748
874,"Cbre Group, Inc.",2012,19826000,304787000,,0,0,0,-27638000,0,0.280976748
875,Cbs Corp,2012,30000000,1574000000,276000000,0.175349428,1.308370044,-1.133020616,227000000,233000000,0.280976748
876,Celanese Corp,2012,3000000,372000000,43000000,0.115591398,0.06626506,0.049326338,498000000,-42000000,0.280976748
877,Celgene Corp /DE/,2012,169000000,1456200000,,0,0,0,776747000,0,0.280976748
878,Centene Corp,2012,28000000,-11000000,,0,0,0,86245000,0,0.280976748
879,Centerpoint Energy Inc,2012,252000000,417000000,,0,0.741935484,-0.741935484,372000000,0,0.280976748
880,"Centurylink, Inc",2012,0,777000000,1811000000,2.330759331,0.86553323,1.4652261,647000000,0,0.280976748
1363,Cerner Corp /MO/,2012,,397232000,,0,0,0,193465000,0,0.280976748
1364,"CF Industries Holdings, Inc.",2012,0,1923400000,102700000,0.05339503,0.043255295,0.010139734,448500000,0,0.280976748
1365,"Charter Communications, Inc. /MO/",2012,,-304000000,,0,0,0,10099000000,2163000000,0.280976748
1366,Chevron Corp,2012,,26336000000,6844000000,0.259872418,0.501940737,-0.242068319,10563000000,0,0.280976748
1367,Chipotle Mexican Grill Inc,2012,5027000,278000000,,0,0,0,126845000,5956000,0.280976748
1368,Chubb Ltd,2012,,2706000000,815000000,0.301182557,0.152216556,0.148966002,2549000000,0,0.280976748
1369,Church & Dwight Co Inc /DE/,2012,,349800000,134500000,0.384505432,0.132648871,0.251856561,243500000,-20000000,0.280976748
1370,Cigna Corp,2012,,1624000000,11000000,0.006773399,0.008494208,-0.001720809,1295000000,0,0.280976748
1371,Cimarex Energy Co,2012,,353823000,39577000,0.111855363,-0.06466566,0.176521023,-311943000,791137000,0.280976748
1372,Cincinnati Financial Corp,2012,,421000000,256000000,0.60807601,0.576388889,0.031687121,432000000,0,0.280976748
1373,Cintas Corp,2012,0,315442000,79744000,0.252800832,0.343010852,-0.090210021,215620000,20649000,0.280976748
1374,"Cisco Systems, Inc.",2012,304000000,8041000000,1501000000,0.186668325,0,0.186668325,6134000000,0,0.280976748
1375,Citigroup Inc,2012,,7710000000,143000000,0.018547341,-2.142289874,2.160837215,-1511000000,-113000000,0.280976748
1376,Citizens Financial Group Inc/RI,2012,0,643000000,150000000,0.233281493,#N/A,#N/A,#N/A,#N/A,0.280976748
1377,Citrix Systems Inc,2012,0,352547000,,0,0,0,191017000,26473000,0.280976748
1378,Clorox Co /DE/,2012,,572000000,335000000,0.585664336,0.467661692,0.118002644,603000000,0,0.280976748
1379,Cme Group Inc.,2012,,906700000,1224300000,1.35028124,0.370065391,0.980215849,825800000,0,0.280976748
1380,Cms Energy Corp,2012,,384000000,504000000,1.3125,0.520833333,0.791666667,240000000,0,0.280976748
1381,Coca Cola Co,2012,,9086000000,4595000000,0.50572309,0.550246163,-0.044523072,6906000000,0,0.280976748
1382,Cognizant Technology Solutions Corp,2012,,1051263000,,0,0,0,534963000,0,0.280976748
1383,Colgate Palmolive Co,2012,,2631000000,1277000000,0.485366781,0.409261577,0.076105204,2397000000,0,0.280976748
1384,Comcast Corp,2012,,7865000000,2299000000,0.292307692,0.209757442,0.08255025,3628000000,0,0.280976748
1385,Comerica Inc /NEW/,2012,35000000,521000000,97000000,0.186180422,10.88235294,-10.69617252,17000000,0,0.280976748
1386,Conagra Brands Inc.,2012,,786100000,400700000,0.509731586,0.567430442,-0.057698856,611000000,0,0.280976748
1387,Concho Resources Inc,2012,39840000,431689000,,0,0,0,-9802000,7880000,0.280976748
1388,Conocophillips,2012,680000000,8498000000,3278000000,0.385737821,0.630454141,-0.24471632,4492000000,469000000,0.280976748
1389,Consolidated Edison Inc,2012,,1141000000,712000000,0.624014023,0.696245734,-0.072231711,879000000,0,0.280976748
1390,"Constellation Brands, Inc.",2012,,387800000,,0,0,0,99300000,0,0.280976748
1391,Cooper Companies Inc,2012,0,248644000,2857000,0.011490324,0.026972192,-0.015481869,100548000,3887000,0.280976748
1392,Copart Inc,2012,8771000,182119000,,0,0,0,141103000,0,0.280976748
1393,Corning Inc /NY,2012,133000000,1636000000,472000000,0.288508557,0.155378486,0.133130071,2008000000,228000000,0.280976748
1394,Costco Wholesale Corp /NEW,2012,,1767000000,446000000,0.252405207,0.26933576,-0.016930553,1099000000,0,0.280976748
1395,Coty Inc.,2012,20500000,201900000,57400000,0.284299158,#N/A,#N/A,#N/A,#N/A,0.280976748
1396,Crown Castle International Corp,2012,15548000,200888000,2481000,0.012350165,-0.174180489,0.186530655,-114123000,19237000,0.280976748
1397,Csx Corp,2012,,1863000000,558000000,0.299516908,0.30183727,-0.002320362,1143000000,0,0.280976748
1398,Cummins Inc,2012,-6000000,1738000000,340000000,0.195627158,0.291322314,-0.095695156,484000000,99000000,0.280976748
1399,CVS HEALTH Corp,2012,,3862000000,829000000,0.214655619,0.118777056,0.095878563,3696000000,0,0.280976748
1400,Danaher Corp /DE/,2012,,2392200000,86400000,0.036117381,0.036221981,-0.000104599,1151704000,0,0.280976748
1401,Darden Restaurants Inc,2012,900000,411900000,258200000,0.626851177,0.346106304,0.280744873,404500000,0,0.280976748
1402,Davita Inc.,2012,,641237000,113504000,0.177007877,0,0.177007877,479759000,0,0.280976748
1403,Deere & Co,2012,,3071600000,697900000,0.227210574,0.542330164,-0.31511959,872900000,0,0.280976748
1404,Delta Air Lines Inc /DE/,2012,452000000,1009000000,0,0,0,0,-1237000000,407000000,0.280976748
1405,DENTSPLY SIRONA Inc.,2012,25717000,318489000,31425000,0.098669028,0.108727024,-0.010057996,274412000,6890000,0.280976748
1406,Devon Energy Corp/DE,2012,2085000000,-206000000,324000000,-1.572815534,-0.114562324,-1.45825321,-2479000000,6513000000,0.280976748
1407,"Diamondback Energy, Inc.",2012,,-36521000,,0,#N/A,#N/A,#N/A,#N/A,0.280976748
1408,"Digital Realty Trust, Inc.",2012,11120000,216047000,373101000,1.726943674,1.646184536,0.080759138,91234000,2177000,0.280976748
1409,Discover Financial Services,2012,,2345000000,209000000,0.0891258,0.079168773,0.009957027,1276185000,0,0.280976748
1410,"Discovery, Inc.",2012,6000000,945000000,,0,0.014184397,-0.014184397,564000000,-200000000,0.280976748
1411,DISH Network CORP,2012,730457000,625740000,452890000,0.72376706,1.407217152,-0.683450092,635403000,0,0.280976748
1412,Dollar General Corp,2012,,952662000,,0,0.706250258,-0.706250258,339442000,0,0.280976748
1889,Dollar Tree Inc,2012,,619300000,,0,0,0,320500000,0,0.280976748
1890,Dominion Energy Inc /VA/,2012,,329000000,1225000000,3.723404255,0.809815951,2.913588304,1304000000,0,0.280976748
1891,DOVER Corp,2012,,811070000,240959000,0.297087798,0.532698534,-0.235610736,356438000,0,0.280976748
1892,DowDuPont Inc.,2012,1563000000,1100000000,2050000000,1.863636364,1.523668639,0.339967725,676000000,696000000,0.280976748
1893,Dte Energy Co,2012,,618000000,407000000,0.658576052,0.65046729,0.008108762,535000000,0,0.280976748
1894,Duke Energy CORP,2012,666000000,1782000000,1752000000,0.983164983,1.126267281,-0.143102298,1085000000,420000000,0.280976748
1895,Duke Realty Corp,2012,,-75868000,228330000,-3.009569252,-0.827964198,-2.181605054,-271490000,0,0.280976748
1896,DXC Technology Co,2012,264000000,779000000,124000000,0.159178434,0,0.159178434,834000000,0,0.280976748
1897,E Trade Financial Corp,2012,8000000,-113000000,,0,0,0,-1297762000,20652000,0.280976748
1898,Eastman Chemical Co,2012,120000000,444000000,192000000,0.432432432,1.438202247,-1.005769815,89000000,196000000,0.280976748
1899,Eaton Corp plc,2012,0,1220000000,512000000,0.419672131,#N/A,#N/A,#N/A,#N/A,0.280976748
1900,Ebay Inc,2012,,2609000000,,0,0,0,2389097000,38187000,0.280976748
1901,Ecolab Inc.,2012,145700000,701300000,306800000,0.437473264,0.316933365,0.120539899,418700000,67100000,0.280976748
1902,Edison International,2012,,-92000000,424000000,-4.608695652,0.427513228,-5.03620888,945000000,0,0.280976748
1903,Edwards Lifesciences Corp,2012,16000000,291500000,,0,0,0,229100000,-63800000,0.280976748
1904,Electronic Arts Inc.,2012,27000000,98000000,,0,0,0,-677000000,140000000,0.280976748
1905,Emerson Electric Co,2012,592000000,2024000000,1171000000,0.578557312,0.563523433,0.015033879,1771000000,0,0.280976748
1906,Entergy Corp /DE/,2012,355524000,868363000,611538000,0.70424235,0.47713041,0.22711194,1251050000,0,0.280976748
1907,Eog Resources Inc,2012,1270735000,570279000,181080000,0.317528789,0.260250591,0.057278197,546627000,305832000,0.280976748
1908,Equifax Inc,2012,,280800000,86000000,0.306267806,0.083991684,0.222276122,240500000,0,0.280976748
1909,Equinix Inc,2012,18683000,143144000,,0,0,0,69431000,-898000,0.280976748
1910,Equity Residential,2012,,881204000,486867000,0.552502031,1.316871232,-0.764369201,382029000,11124000,0.280976748
1911,"Essex Property Trust, Inc.",2012,0,139590000,156250000,1.119349524,2.179087813,-1.05973829,53739000,13084000,0.280976748
1912,Estee Lauder Companies Inc,2012,32800000,1023800000,419200000,0.409454972,0.226160862,0.183294109,482400000,109500000,0.280976748
1913,Everest Re Group Ltd,2012,,828954000,100402000,0.121118904,0.144806187,-0.023687283,806989000,0,0.280976748
1914,"Evergy, Inc.",2012,,282462000,158182000,0.560011612,0.702196202,-0.142184589,175075000,0,0.280976748
1915,Eversource Energy,2012,,533077000,382076000,0.716736982,0.500429092,0.216307889,335592000,0,0.280976748
1916,EXELON Corp,2012,,1171000000,1716000000,1.465414176,0.511636498,0.953777678,2707000000,0,0.280976748
1917,"Expedia Group, Inc.",2012,,280440000,130423000,0.465065611,0,0.465065611,303623000,34168000,0.280976748
1918,Expeditors International Of Washington Inc,2012,,332969000,117263000,0.352173926,0.335091536,0.01708239,240397000,0,0.280976748
1919,Extra Space Storage Inc.,2012,,127689000,88287000,0.691422127,0.839024889,-0.147602762,39093000,2225000,0.280976748
1920,Exxon Mobil Corp,2012,,47681000000,10092000000,0.211656635,0.408129006,-0.196472371,19658000000,0,0.280976748
1921,F5 Networks Inc,2012,,275186000,,0,0,0,91535000,4329000,0.280976748
1922,Facebook Inc,2012,,53000000,,0,#N/A,#N/A,#N/A,#N/A,0.280976748
1923,Fastenal Co,2012,-403000,420536000,367306000,0.873423441,0.580086463,0.293336978,184357000,850000,0.280976748
1924,Federal Realty Investment Trust,2012,,156232000,178020000,1.139459266,1.502811152,-0.363351886,103872000,0,0.280976748
1925,Fedex Corp,2012,660000000,2716000000,177000000,0.065169367,0.116554054,-0.051384687,1184000000,18000000,0.280976748
1926,"Fidelity National Information Services, Inc.",2012,,481100000,234800000,0.488048223,0.436866359,0.051181863,108500000,136900000,0.280976748
1927,Fifth Third Bancorp,2012,,1574000000,344000000,0.218551461,0.335142469,-0.116591008,737000000,0,0.280976748
1928,Firstenergy Corp,2012,0,771000000,920000000,1.193255512,0.78271028,0.410545232,856000000,6000000,0.280976748
1929,Fiserv Inc,2012,,611000000,,0,0,0,476000000,0,0.280976748
1930,Fleetcor Technologies Inc,2012,,216199000,,0,0,0,89052000,0,0.280976748
1931,Flir Systems Inc,2012,2000000,222398000,42450000,0.190874019,0,0.190874019,230213000,0,0.280976748
1932,Flowserve Corp,2012,,450799000,73765000,0.163631685,0.138220208,0.025411477,428331000,0,0.280976748
1933,Fluor Corp,2012,,571067000,128650000,0.225280046,0.123748252,0.101531794,732875000,0,0.280976748
1934,Fmc Corp,2012,27500000,435700000,47800000,0.109708515,0.15201005,-0.042301535,238800000,132800000,0.280976748
1935,"Foot Locker, Inc.",2012,12000000,397000000,109000000,0.274559194,1.958333333,-1.683774139,48000000,41000000,0.280976748
1936,Ford Motor Co,2012,,5612000000,763000000,0.13595866,0,0.13595866,2717000000,0,0.280976748
1937,Fortinet Inc,2012,,66836000,,0,0,0,60179000,0,0.280976748
2418,"Fortune Brands Home & Security, Inc.",2012,17900000,119700000,,0,0,0,-38200000,21800000,0.280976748
2419,Franklin Resources Inc,2012,,1915500000,663000000,0.346123727,0.213188011,0.132935716,904291000,0,0.280976748
2420,Freeport-Mcmoran Inc,2012,0,3980000000,1129000000,0.283668342,0.064799095,0.218869247,3534000000,0,0.280976748
2421,Gallagher Arthur J & Co,2012,,195000000,204400000,1.048205128,0.994556765,0.053648363,128600000,0,0.280976748
2422,Gap Inc,2012,,1135000000,240000000,0.211453744,0.212341198,-0.000887453,1102000000,0,0.280976748
2423,Garmin Ltd,2012,,542403000,253386000,0.467154496,0.21286455,0.254289946,703950000,0,0.280976748
2424,Gartner Inc,2012,,165903000,,0,0,0,82964000,2934000,0.280976748
2425,General Dynamics Corp,2012,1994000000,-332000000,893000000,-2.689759036,0.241019215,-2.930778251,2394000000,0,0.280976748
2426,General Electric Co,2012,,13864000000,7189000000,0.518537219,0.800534521,-0.281997302,11225000000,0,0.280976748
2427,General Mills Inc,2012,19800000,1855200000,867600000,0.467658473,0.420581509,0.047076964,1530500000,31400000,0.280976748
2428,General Motors Co,2012,27145000000,6136000000,939000000,0.153031291,0,0.153031291,1.05217E+11,0,0.280976748
2429,Genuine Parts Co,2012,,648041000,300983000,0.464450552,0.63456923,-0.170118678,399575000,0,0.280976748
2430,Gilead Sciences Inc,2012,,2574000000,,0,0,0,2625592000,0,0.280976748
2431,Global Payments Inc,2012,,238713000,6198000,0.025964233,0.029651908,-0.003687675,219109000,0,0.280976748
2432,Goldman Sachs Group Inc,2012,,7475000000,1086000000,0.145284281,0.164736645,-0.019452365,13385000000,0,0.280976748
2433,Goodyear Tire & Rubber Co /OH/,2012,175000000,237000000,29000000,0.122362869,0,0.122362869,-364000000,227000000,0.280976748
2434,Grainger W W Inc,2012,,698849000,220077000,0.314913522,0.312657276,0.002256246,430772000,0,0.280976748
2435,H&R Block Inc,2012,0,433948000,217201000,0.500523104,0.419201572,0.081321532,479242000,15000000,0.280976748
2436,Half Robert International Inc /DE/,2012,,209942000,84129000,0.400724962,1.936210182,-1.53548522,37263000,0,0.280976748
2437,Halliburton Co,2012,,2645000000,333000000,0.125897921,0.280519481,-0.15462156,1155000000,0,0.280976748
2438,Hanesbrands Inc.,2012,,164681000,0,0,0,0,51283000,53888000,0.280976748
2439,Harley Davidson Inc,2012,28475000,623925000,141681000,0.227080178,-1.701992162,1.92907234,-55116000,252665000,0.280976748
2440,Harris Corp /DE/,2012,,109000000,165000000,1.513761468,0.20477208,1.308989388,561600000,0,0.280976748
2441,Hartford Financial Services Group Inc/DE,2012,,-38000000,217000000,-5.710526316,-0.250281849,-5.460244467,-887000000,32000000,0.280976748
2442,Hasbro Inc,2012,,335999000,225464000,0.671025807,0.297276825,0.373748982,374930000,0,0.280976748
2443,"HCA Healthcare, Inc.",2012,-15000000,2006000000,3148000000,1.569292124,0,1.569292124,1375000000,58000000,0.280976748
2444,"Hcp, Inc.",2012,18859000,846842000,865306000,1.021803359,3.537929949,-2.51612659,146151000,75389000,0.280976748
2445,"Helmerich & Payne, Inc.",2012,,581045000,30049000,0.051715444,0.059712342,-0.007996898,353545000,0,0.280976748
2446,Henry Jack & Associates Inc,2012,,167610000,48202000,0.287584273,0.258428777,0.029155496,117870000,0,0.280976748
2447,Henry Schein Inc,2012,15192000,423388000,,0,0,0,333157000,3020000,0.280976748
2448,Hershey Co,2012,44938000,660931000,341206000,0.516250562,0.604143635,-0.087893073,435994000,82875000,0.280976748
2449,Hess Corp,2012,582000000,2063000000,,0,0.162329616,-0.162329616,807000000,54000000,0.280976748
2450,Hilton Worldwide Holdings Inc.,2012,,359000000,,0,#N/A,#N/A,#N/A,#N/A,0.280976748
2451,HollyFrontier Corp,2012,0,1760033000,658085000,0.373904921,0.56548837,-0.191583449,53269000,0,0.280976748
2452,Hologic Inc,2012,10900000,-73600000,,0,0,0,-2216642000,2344885000,0.280976748
2453,Home Depot Inc,2012,,4535000000,1743000000,0.384343991,0.573092822,-0.188748831,2661000000,0,0.280976748
2454,Honeywell International Inc,2012,,2931000000,1211000000,0.413169567,0.579545455,-0.166375888,1584000000,0,0.280976748
2455,Hormel Foods Corp /DE/,2012,,504961000,152204000,0.301417337,0.293012851,0.008404487,345978000,0,0.280976748
2456,Horton D R Inc /DE/,2012,,956300000,47800000,0.049984315,-0.086395053,0.136379367,-549800000,0,0.280976748
2457,"Host Hotels & Resorts, Inc.",2012,-11000000,63000000,187000000,2.968253968,-0.197674419,3.165928387,-258000000,0,0.280976748
2458,Hp Inc,2012,20346000000,-12650000000,1015000000,-0.080237154,0.1,-0.180237154,7660000000,640000000,0.280976748
2459,Humana Inc,2012,,1222000000,165000000,0.13502455,0,0.13502455,1040000000,0,0.280976748
2460,Hunt J B Transport Services Inc,2012,,310354000,83431000,0.268825277,0.408194378,-0.139369101,136435000,0,0.280976748
2461,Huntington Bancshares Inc/MD,2012,,631290000,169335000,0.268236468,-0.052449454,0.320685922,-3094179000,2606944000,0.280976748
2462,"Huntington Ingalls Industries, Inc.",2012,,146000000,5000000,0.034246575,0,0.034246575,124000000,0,0.280976748
2463,Idexx Laboratories Inc /DE,2012,,178287000,,0,0,0,122235000,0,0.280976748
2464,IHS Markit Ltd.,2012,16829000,158168000,,0,0,0,128015000,-735000,0.280976748
2465,Illinois Tool Works Inc,2012,2000000,2870000000,865000000,0.301393728,0.63707506,-0.335681332,972697000,105568000,0.280976748
2941,Illumina Inc,2012,3522000,151254000,,0,0,0,72281000,0,0.280976748
2942,Incyte Corp,2012,,-44320000,,0,0,0,-211870000,0,0.280976748
2943,Ingersoll-Rand plc,2012,-4500000,1044000000,192400000,0.184291188,0.337673247,-0.153382059,476200000,0,0.280976748
2944,Intel Corp,2012,0,11005000000,4350000000,0.395274875,0.711375601,-0.316100726,4369000000,0,0.280976748
2945,"Intercontinental Exchange, Inc.",2012,19000000,562000000,0,0,0,0,314154000,6139000,0.280976748
2946,International Business Machines Corp,2012,,16604000000,3773000000,0.227234401,0.213035382,0.01419902,13425000000,0,0.280976748
2947,International Flavors & Fragrances Inc,2012,1668000,254134000,130943000,0.515251796,0.403225147,0.11202665,195526000,18301000,0.280976748
2948,International Paper Co /NEW/,2012,151000000,799000000,476000000,0.595744681,0.198863636,0.396881044,704000000,1412000000,0.280976748
2949,"Interpublic Group Of Companies, Inc.",2012,-1200000,464600000,115000000,0.247524752,0.192468619,0.055056133,143400000,4600000,0.280976748
2950,Intuit Inc,2012,,792000000,178000000,0.224747475,0,0.224747475,447000000,0,0.280976748
2951,Intuitive Surgical Inc,2012,,656600000,,0,0,0,232600000,0,0.280976748
2952,Invesco Ltd.,2012,,587300000,289000000,0.492082411,0.806975633,-0.314893222,209300000,0,0.280976748
2953,Ipg Photonics Corp,2012,,147744000,33353000,0.225748592,0,0.225748592,5284000,0,0.280976748
2954,Iqvia Holdings Inc.,2012,18741000,176631000,567851000,3.214899989,#N/A,#N/A,#N/A,#N/A,0.280976748
2955,Iron Mountain Inc,2012,4661000,174048000,318845000,1.831937167,0,1.831937167,219379000,168000,0.280976748
2956,J M SMUCKER Co,2012,,544200000,222800000,0.409408306,0.336391858,0.073016448,494138000,-108000,0.280976748
2957,Jacobs Engineering Group Inc /DE/,2012,,390954000,,0,0,0,399213000,0,0.280976748
2958,Jefferies Financial Group Inc.,2012,,864641000,61146000,0.070718368,0,0.070718368,548595000,0,0.280976748
2959,Johnson & Johnson,2012,,10514000000,6614000000,0.629066007,0.434289907,0.1947761,12266000000,1073000000,0.280976748
2960,Johnson Controls International plc,2012,247000000,1310000000,477000000,0.364122137,-0.882857143,1.24697928,-350000000,230000000,0.280976748
2961,Jpmorgan Chase & Co,2012,,21284000000,5194000000,0.244033076,0.291780355,-0.047747278,11728000000,0,0.280976748
2962,Juniper Networks Inc,2012,46800000,186500000,0,0,0,0,115228000,201794000,0.280976748
2963,Kansas City Southern,2012,,379400000,86100000,0.226937269,0.161527166,0.065410103,68100000,0,0.280976748
2964,Kellogg Co,2012,,961000000,622000000,0.647242456,0.451986755,0.195255701,1208000000,0,0.280976748
2965,Keycorp /NEW/,2012,,865000000,191000000,0.220809249,-0.162471396,0.383280644,-1311000000,241000000,0.280976748
2966,Kimberly Clark Corp,2012,,1828000000,1151000000,0.629649891,0.49448345,0.13516644,1994000000,0,0.280976748
2967,Kimco Realty Corp,2012,59569000,280275000,382722000,1.365523147,54.61541,-53.24988685,6061000,122988000,0.280976748
2968,"Kinder Morgan, Inc.",2012,0,427000000,1184000000,2.772833724,0.840770922,1.932062801,773100000,0,0.280976748
2969,Kla Tencor Corp,2012,,543149000,265893000,0.489539703,0.482378709,0.007160993,212300000,0,0.280976748
2970,KOHLS Corp,2012,,986000000,300000000,0.304259635,0,0.304259635,973000000,0,0.280976748
2971,Kraft Heinz Co,2012,45000000,1027333000,666000000,0.648280548,0.60469908,0.043581468,882343000,0,0.280976748
2972,Kroger Co,2012,,1508000000,267000000,0.177055703,4.175438596,-3.998382894,57000000,1113000000,0.280976748
2973,"L Brands, Inc.",2012,93000000,753000000,1449000000,1.924302789,0.430803571,1.493499217,448000000,3000000,0.280976748
2974,"L3 Technologies, Inc.",2012,,794000000,195000000,0.24559194,0.181119649,0.064472291,911000000,0,0.280976748
2975,Laboratory Corp Of America Holdings,2012,25300000,584800000,,0,0,0,555600000,13500000,0.280976748
2976,Lam Research Corp,2012,0,113879000,,0,0,0,346669000,0,0.280976748
2977,Leggett & Platt Inc,2012,1200000,250500000,199500000,0.796407186,1.366956522,-0.570549336,115000000,0,0.280976748
2978,Lennar Corp /NEW/,2012,,657332000,30394000,0.046238431,-0.061848321,0.108086751,-446059000,0,0.280976748
2979,Lilly Eli & Co,2012,281100000,4088600000,2187400000,0.534999755,0.497158566,0.03784119,4328800000,692700000,0.280976748
2980,Lincoln National Corp,2012,,1313000000,91000000,0.069306931,-0.162886598,0.232193529,-485000000,730000000,0.280976748
2981,Lkq Corp,2012,2751000,261225000,,0,0,0,127521000,2554000,0.280976748
2982,Lockheed Martin Corp,2012,,2745000000,1352000000,0.492531876,0.305415405,0.187116471,2973000000,0,0.280976748
2983,Loews Corp,2012,,1110000000,99000000,0.089189189,0.078091106,0.011098083,1383000000,1036000000,0.280976748
2984,Lowes Companies Inc,2012,,1959000000,704000000,0.359367024,0.219293326,0.140073698,1783000000,0,0.280976748
2985,LyondellBasell Industries N.V.,2012,,2834000000,2415000000,0.852152435,0,0.852152435,-2871000000,0,0.280976748
2986,M&T Bank Corp,2012,,1029498000,411167000,0.399385914,0.941459524,-0.54207361,379891000,0,0.280976748
2987,Macerich Co,2012,,366389000,326185000,0.890269631,0.687001795,0.203267836,139250000,0,0.280976748
2988,"Macy's, Inc.",2012,5000000,1335000000,324000000,0.242696629,0.255319149,-0.01262252,329000000,391000000,0.280976748
3465,Nucor Corp,2012,30000000,593126000,466361000,0.78627644,-1.868255066,2.654531506,-237178000,0,0.280976748
3466,Nvidia Corp,2012,,562536000,46866000,0.083312001,0,0.083312001,-67987000,0,0.280976748
3467,O Reilly Automotive Inc,2012,,585746000,,0,0,0,307498000,0,0.280976748
3468,Occidental Petroleum Corp /DE/,2012,1710000000,4598000000,2128000000,0.462809917,0.358395145,0.104414772,2966000000,170000000,0.280976748
3469,Omnicom Group Inc.,2012,,1117500000,397800000,0.355973154,0.214711958,0.141261197,871400000,0,0.280976748
3470,Oneok Inc /NEW/,2012,,743530000,261969000,0.352331446,0.351735735,0.000595711,491204000,0,0.280976748
3471,Oracle Corp,2012,-252000000,10925000000,1433000000,0.131167048,0.163651182,-0.032484134,6135000000,776000000,0.280976748
3472,Paccar Inc,2012,,1111600000,809500000,0.728229579,2.074173369,-1.34594379,111900000,0,0.280976748
3473,Packaging Corp Of America,2012,,160200000,117800000,0.735330836,0.289204385,0.446126451,265895000,0,0.280976748
3474,Parker Hannifin Corp,2012,-10299000,948784000,255009000,0.268774558,0.292504022,-0.023729464,556365000,10292000,0.280976748
3475,Paychex Inc,2012,,569000000,476700000,0.837785589,0.940461216,-0.102675627,477000000,0,0.280976748
3476,PENTAIR plc,2012,60700000,-104600000,112400000,-1.07456979,0.610387263,-1.684957053,116200000,0,0.280976748
3477,"People's United Financial, Inc.",2012,,245300000,217900000,0.888300041,2.011857708,-1.123557667,101200000,2000000,0.280976748
3478,Pepsico Inc,2012,,6214000000,3305000000,0.531863534,0.456932597,0.074930937,5979000000,0,0.280976748
3479,Perkinelmer Inc,2012,99204000,69940000,31903000,0.456148127,0.398399142,0.057748985,82081000,17987000,0.280976748
3480,PERRIGO Co plc,2012,2900000,441900000,33000000,0.074677529,0.099772564,-0.025095035,223799000,9523000,0.280976748
3481,Pfizer Inc,2012,1810000000,14598000000,6534000000,0.447595561,0.641906745,-0.194311184,8643000000,4330000000,0.280976748
3482,Philip Morris International Inc.,2012,83000000,9154000000,5404000000,0.590343019,0.660409035,-0.070066016,6552000000,29000000,0.280976748
3483,Phillips 66,2012,1158000000,4131000000,282000000,0.068264343,#N/A,#N/A,#N/A,#N/A,0.280976748
3484,Pinnacle West Capital Corp,2012,,413164000,225075000,0.544759466,2.818371722,-2.273612256,72764000,0,0.280976748
3485,Pioneer Natural Resources Co,2012,97000000,243000000,10000000,0.041152263,-0.221685949,0.262838212,-42267000,100186000,0.280976748
3486,"Pnc Financial Services Group, Inc.",2012,,2994000000,997000000,0.332999332,0.340407824,-0.007408492,2403000000,0,0.280976748
3487,Ppg Industries Inc,2012,188000000,1064000000,358000000,0.336466165,0.828638498,-0.492172332,426000000,199000000,0.280976748
3488,PPL Corp,2012,,1531000000,833000000,0.544088831,1.213615023,-0.669526193,426000000,0,0.280976748
3489,Praxair Inc,2012,65000000,1744000000,655000000,0.375573394,0.378565921,-0.002992527,1297000000,306000000,0.280976748
3490,Price T Rowe Group Inc,2012,,883600000,603400000,0.682888185,0.59248155,0.090406635,433600000,0,0.280976748
3491,Principal Financial Group Inc,2012,,825400000,264300000,0.320208384,0.298126065,0.022082319,645700000,0,0.280976748
3492,PROCTER & GAMBLE Co,2012,308000000,11402000000,6519000000,0.5717418,0.42487934,0.14686246,12846000000,0,0.280976748
3493,Progressive Corp/OH/,2012,,902300000,853700000,0.946137648,0,0.946137648,1057500000,0,0.280976748
3494,"Prologis, Inc.",2012,333590000,-30472000,567834000,-18.63461538,12.42262527,-31.05724065,23929000,331592000,0.280976748
3495,Prudential Financial Inc,2012,,570000000,768000000,1.347368421,0.112297735,1.235070686,3090000000,0,0.280976748
3496,Public Service Enterprise Group Inc,2012,,1275000000,718000000,0.563137255,0.422738693,0.140398561,1592000000,0,0.280976748
3497,Public Storage,2012,,943035000,959154000,1.017092685,0.79025904,0.226833644,790456000,0,0.280976748
3498,Pultegroup Inc/MI/,2012,,206145000,0,0,0,0,-1182567000,0,0.280976748
3499,Pvh Corp. /DE/,2012,,433800000,10900000,0.025126787,0.048242851,-0.023116064,161910000,0,0.280976748
3500,"Qorvo, Inc.",2012,,-52999000,,0,#N/A,#N/A,#N/A,#N/A,0.280976748
3501,Qualcomm Inc/DE,2012,,6059000000,1583000000,0.261264235,0.686557789,-0.425293554,1592000000,0,0.280976748
3502,Quanta Services Inc,2012,,322656000,,0,0,0,163535000,0,0.280976748
3503,Quest Diagnostics Inc,2012,,592000000,108000000,0.182432432,0.097553973,0.08487846,766222000,0,0.280976748
